Screen_Name,Tile_Type,Tile_W,Tile_H,Tiles_Wide,Tiles_High,Pixels_W,Pixels_H,Physical W,Physical H
C1,bp3,128,128,12,2,1536,256,19.8,3
C2,bp3,128,128,12,2,1536,256,19.8,3
C3,bp3,128,128,12,2,1536,256,19.8,3
CS4,bp3,128,128,24,2,3072,256,19.8,3
C5,bp3,128,128,12,2,1536,256,19.8,3
C6,bp3,128,128,12,2,1536,256,19.8,3
C7,bp3,128,128,12,2,1536,256,19.8,3
